ID;model_type;d_model;dim_ff;num_of_layers;nhead;sequence_size;input_size;output_size;input_id;step_size;dropout
1704;Transformer;64;192;3;8;120;12;1;2;5;0.1
1705;Transformer;64;256;3;8;120;12;1;2;5;0.1
1706;Transformer;16;32;4;8;120;12;1;2;5;0.1
1707;Transformer;16;48;4;8;120;12;1;2;5;0.1
1708;Transformer;16;64;4;8;120;12;1;2;5;0.1
1709;Transformer;32;64;4;8;120;12;1;2;5;0.1
1710;Transformer;32;96;4;8;120;12;1;2;5;0.1
1711;Transformer;32;128;4;8;120;12;1;2;5;0.1
1712;Transformer;64;128;4;8;120;12;1;2;5;0.1
1713;Transformer;64;192;4;8;120;12;1;2;5;0.1
1714;Transformer;64;256;4;8;120;12;1;2;5;0.1
1715;Transformer;32;64;2;2;180;12;1;2;5;0.1
1716;Transformer;32;96;2;2;180;12;1;2;5;0.1
1717;Transformer;32;128;2;2;180;12;1;2;5;0.1
1718;Transformer;64;128;2;2;180;12;1;2;5;0.1
1719;Transformer;64;192;2;2;180;12;1;2;5;0.1
1720;Transformer;64;256;2;2;180;12;1;2;5;0.1
1721;Transformer;128;256;2;2;180;12;1;2;5;0.1
1722;Transformer;128;384;2;2;180;12;1;2;5;0.1
1723;Transformer;128;512;2;2;180;12;1;2;5;0.1
1724;Transformer;32;64;3;2;180;12;1;2;5;0.1
1725;Transformer;32;96;3;2;180;12;1;2;5;0.1
1726;Transformer;32;128;3;2;180;12;1;2;5;0.1
1727;Transformer;64;128;3;2;180;12;1;2;5;0.1
1728;Transformer;64;192;3;2;180;12;1;2;5;0.1
1729;Transformer;64;256;3;2;180;12;1;2;5;0.1
1730;Transformer;128;256;3;2;180;12;1;2;5;0.1
1731;Transformer;128;384;3;2;180;12;1;2;5;0.1
1732;Transformer;128;512;3;2;180;12;1;2;5;0.1
1733;Transformer;32;64;4;2;180;12;1;2;5;0.1
1734;Transformer;32;96;4;2;180;12;1;2;5;0.1
1735;Transformer;32;128;4;2;180;12;1;2;5;0.1
1736;Transformer;64;128;4;2;180;12;1;2;5;0.1
1737;Transformer;64;192;4;2;180;12;1;2;5;0.1
1738;Transformer;64;256;4;2;180;12;1;2;5;0.1
1739;Transformer;128;256;4;2;180;12;1;2;5;0.1
1740;Transformer;128;384;4;2;180;12;1;2;5;0.1
1741;Transformer;128;512;4;2;180;12;1;2;5;0.1
1742;Transformer;32;64;2;4;180;12;1;2;5;0.1
1743;Transformer;32;96;2;4;180;12;1;2;5;0.1
1744;Transformer;32;128;2;4;180;12;1;2;5;0.1
1745;Transformer;64;128;2;4;180;12;1;2;5;0.1
1746;Transformer;64;192;2;4;180;12;1;2;5;0.1
1747;Transformer;64;256;2;4;180;12;1;2;5;0.1
1748;Transformer;128;256;2;4;180;12;1;2;5;0.1
1749;Transformer;128;384;2;4;180;12;1;2;5;0.1
1750;Transformer;128;512;2;4;180;12;1;2;5;0.1
1751;Transformer;32;64;3;4;180;12;1;2;5;0.1
1752;Transformer;32;96;3;4;180;12;1;2;5;0.1
1753;Transformer;32;128;3;4;180;12;1;2;5;0.1
1754;Transformer;64;128;3;4;180;12;1;2;5;0.1
1755;Transformer;64;192;3;4;180;12;1;2;5;0.1
1756;Transformer;64;256;3;4;180;12;1;2;5;0.1
1757;Transformer;128;256;3;4;180;12;1;2;5;0.1
1758;Transformer;128;384;3;4;180;12;1;2;5;0.1
1759;Transformer;128;512;3;4;180;12;1;2;5;0.1
1760;Transformer;32;64;4;4;180;12;1;2;5;0.1
1761;Transformer;32;96;4;4;180;12;1;2;5;0.1
1762;Transformer;32;128;4;4;180;12;1;2;5;0.1
1763;Transformer;64;128;4;4;180;12;1;2;5;0.1
