time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref
2.95 sec,0.06481,0.00558,0,-0.492414238769713,4.91134043156816e-13,0
2.96 sec,0.0718,0.00522,-9.262e-05,-0.48985871559486,-9.26200005192303e-05,0
2.97 sec,0.07927,0.0048,0,-0.492414269710956,4.93610360918773e-13,0
2.98 sec,0.08723,0.00435,-8.42e-05,-0.489856106016941,-8.42000005224167e-05,0
2.99 sec,0.09571,0.00387,-9.262e-05,-0.492419975331147,-9.26199994937234e-05,0
3 sec,0.10472,0.00336,-0.00175136,-0.489845196773476,-0.0017513600003545,0
3.01 sec,0.112350000000001,0.00293999999999997,-0.0017682,-0.492451030329987,-0.00176819999904647,0
3.02 sec,0.12443,0.00231,-0.00177662,-0.489782271509214,-0.00177662000015278,0
3.03 sec,0.132970000000001,0.00187999999999997,-0.00178504,-0.492584266427163,-0.00178503999897557,0
3.04 sec,0.1465,0.00126,-0.00181872,-0.489621854334759,-0.00181872000021376,0
3.05 sec,0.156060000000001,0.000849999999999974,-0.00182714,-0.489389682015978,-0.00182713999856514,0
3.06 sec,0.17115,0.00027,-0.00183556,-0.485442730892191,-0.00183555999992033,0
3.07 sec,0.181790000000001,0,-0.000202080000000074,-0.490702843265759,-0.000202079998692241,0
3.08 sec,0.19858,0,-0.00186082,-0.485232610606922,-0.00186082000016633,0
3.09 sec,0.21341,0,-0.00183556,-0.49073171725078,-0.0018355599985402,0
3.1 sec,0.22903,0,-0.00183556,-0.481895460132209,-0.00183555999956564,0
3.11 sec,0.24546,0,-0.00184398,-0.482897437611468,-0.00184397999784642,0
3.12 sec,0.26274,0,-0.0018524,-0.478617101661077,-0.00185239999917957,0.04662
3.13 sec,0.2809,0,-0.00021892,-0.3864220409843,-0.000218919988245747,0.11578
3.14 sec,0.29998,0,0.003789425,-0.360239383395463,0.00378942501011306,0.13601
3.15 sec,0.32001,0,0.003789425,-0.415834439229836,0.00378942501084649,0.15408
3.16 sec,0.34103,0,0.005448165,-0.186973550755388,0.00544816502651729,0.21386
3.17 sec,0.36307,0,0.005448165,-0.0144209830251995,0.0054481650474737,0.27583
3.18 sec,0.38617,0,0.005448165,0.0737513244439972,0.00544816505717649,0.28951
3.19 sec,0.41035,0,0.293522831795261,0.220802251580045,0.293522831849256,0.30024
3.2 sec,0.43566,0,0.293522831795261,0.291761999501893,0.293522831822103,0.32648
3.21 sec,0.46212,0,0.356030388876331,0.44463073928165,0.356030388905492,0.36115
3.22 sec,0.48975,0,0.356030388876331,0.44804583886636,0.35603038890284,0.39224
3.23 sec,0.51858,0,0.429099741854612,0.587406263774471,0.429099741885334,0.42554
3.24 sec,0.54863,0.00013,0.427487601854612,0.538986420811611,0.427487601881292,0.46655
3.25 sec,0.57993,0.00064,0.481914438097403,0.671445544133301,0.481914438130032,0.51084
3.26 sec,0.605910000000002,0.00108000000000003,0.495260620000005,0.660369489000394,0.495260620033528,0.544810000000002
3.27 sec,0.64632,0.00177,0.546096384384618,0.676890905267942,0.546096384416353,0.59418
3.28 sec,0.674330000000002,0.00226000000000003,0.600519608586417,0.812890724183919,0.600519608623453,0.623500000000002
3.29 sec,0.71781,0.003,0.613871195,0.789007307423835,0.613871195036889,0.66745
3.3 sec,0.747870000000002,0.00351000000000003,0.65342991486513,0.845268236807106,0.653429914904706,0.703100000000003
3.31 sec,0.79457,0.00429,0.707832152999796,0.938899878362221,0.707832153043664,0.76443
3.32 sec,0.826500000000002,0.00480000000000003,0.772014332702811,0.989147936316366,0.772014332748632,0.811940000000003
3.33 sec,0.87604,0.00556,0.837784397793437,1.04486025168456,0.837784397838803,0.88593
3.34 sec,0.91869,0.00618,0.87765353,1.04032252356757,0.877653530040175,0.93522
3.35 sec,0.96254,0.00678,0.939501445,1.12985614277822,0.939501445039692,0.97954
3.36 sec,1.00755,0.00735,0.979291725,1.15732314805899,0.979291725039551,1.01901
3.37 sec,1.05367,0.00788,1.025922235,1.19834657562231,1.02592223503867,1.06058
3.38 sec,1.10088,0.00838,1.05837827,1.2366583469635,1.05837827003877,1.12184
3.39 sec,1.14913,0.00884,1.14449080775735,1.3536334988298,1.14449080779975,1.18856
3.4 sec,1.19834,0.00925,1.18828136757421,1.36206890877791,1.18828136761527,1.24081
3.41 sec,1.2485,0.0096,1.2461708093816,1.42264619619461,1.24617080942118,1.29011
